pincode,circle,region,division,offices
742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO, Bansgara BO, Barjumla BO, Bilbora Kopra BO, Khandua BO, Krishnapur Dinupara BO, Krishnapur BO, Manikchak BO, Maya BO, Paharpur BO, Sekhalipur BO, Upar Fatepur BO"
742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO, Jafrabad BO, Jahankosha BO, Khoshbagh BO, Kurmitola BO, Talgachi BO, Lalbagh SO Murshidabad"
742151,West Bengal Circle,Kolkata Region,Murshidabad Division,"Rajarampur SO, Laskarpur BO, Sadar Nashipur BO, Sagia BO, Siteshnagar BO"
742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO, Indrani BO, Joypur BO, Kashidanga Mohammadpur BO, Polsanda BO, Ramchandrapur BO, Sabaldaha BO, Sadal BO, Sahi Sherpur BO, Sankarpur BO, Uttar Gopinathpur BO"
742160,West Bengal Circle,Kolkata Region,Murshidabad Division,Nashipur Rajbati SO
742161,West Bengal Circle,Kolkata Region,Murshidabad Division,"Panchthupi SO, Chaitpur BO, Godapara BO, Godda Sighari BO, Harishchandrapur BO, Hastinapur BO, Jawhari BO, Kurnnarun BO, Mahadebbati BO, Maliandi BO, Mandra BO, Marut BO, Muniadihi BO, Rajhat BO, Shibrambati BO, Sundarpur BO, Tarapur BO"
742163,West Bengal Circle,Kolkata Region,Murshidabad Division,"Saktipur SO, Bachra BO, Bazarshaw BO, Dupukuria BO, Kadkhali BO, Lohadaha BO, Manikahar BO, Milki BO, Moshimpur BO, Palitpara BO, Sompara BO"
742164,West Bengal Circle,Kolkata Region,Murshidabad Division,Roshanbagh SO
742165,West Bengal Circle,Kolkata Region,Murshidabad Division,"Baruipara SO Murshidabad, Balarampore Colony BO, Jagannathpur BO, Kalitaladiar BO, Nischintapur BO, Nutanpararaipur BO, Rajdharpara BO"
742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO, Lochanmati Dangapara BO, Padmanavpur BO, Protappur BO, Ramkrishnapur BO, Rukunpur BO, Sahazadpur BO, Sankarpur Dharampur BO, Sripur BO, Swaruppur BO, Tartipur BO"
742168,West Bengal Circle,Kolkata Region,Murshidabad Division,"Andi SO, Belgram BO, Bipra Sekhar BO, Jhikarhati BO, Kharjuna BO, Kuli Kandi BO, Kundal BO, Kunia BO, Mahishgram BO, Nabadurga BO"
742174,West Bengal Circle,Kolkata Region,Murshidabad Division,"Sarbangapur SO, Dakatiapota BO, Dudsar BO, Jhikra BO"
