pincode,circle,region,division,offices
743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO"
743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO, Narayanpur BO, Padmalavpur BO, Kankinara SO"
743127,West bengal circle,Kolkata Region,North Presidency Division,"Mondalpara BO, Paltapara BO, Purbabidyadharpur BO, Shyamnagar SO North 24 Parganas, Gurdah BO, Feeder Road SO, Kowgachi SO, Mulajore SO"
743128,West Bengal Circle,Kolkata Region,North Presidency Division,Athpur SO
743129,West Bengal Circle,Kolkata Region,North Presidency Division,Fingapara SO
743130,West Bengal Circle,Kolkata Region,North Presidency Division,Dogachia SO
743133,West Bengal Circle,Kolkata Region,North Presidency Division,"Garulia SO, Pinkal SO"
743134,West Bengal Circle,Kolkata Region,North Presidency Division,Halishahar SO
743135,West bengal circle,Kolkata Region,North Presidency Division,"Jetia BO, Malancha BO, Hazinagar SO, Lalkuthi SO"
743136,West Bengal Circle,Kolkata Region,North Presidency Division,Nabanagar SO
743144,West Bengal Circle,Kolkata Region,North Presidency Division,"Ichapur Nawabganj SO, Anandamath SO, Ichapur Rifle Factory SO, Ichapur SO, Kantadhar SO, Metal  Steel Factory SO, PSBureau SO"
743145,West bengal circle,Kolkata Region,North Presidency Division,"Chandua BO, Majhipara BO, Saliadaha BO, Kanchrapara SO, Bagermore SO, Barajonepur BO, Palashi BO, Binodnagar SO, Chandmari Road SO, Kanchrapara Loco Shop SO"
743165,West bengal circle,Kolkata Region,North Presidency Division,"Puranandapally BO, Naihati SO, Naihati Anandabazar SO"
743166,West bengal circle,Kolkata Region,North Presidency Division,"Kuliagarh BO, Madarpur BO, Mamudpur BO, Gorifa SO, Ramghat SO North 24 Parganas"
743193,West Bengal Circle,Kolkata Region,North Presidency Division,Kampa SO
743194,West Bengal Circle,Kolkata Region,North Presidency Division,"Ramlakshi Busti Lane SO, Kelabagan SO"
743221,West Bengal Circle,Kolkata Region,Barasat Division,"Arkhali Amdanga SO, Adhata BO, Hishabi BO, Sadhanpur Uludanga BO"
743222,West Bengal Circle,Kolkata Region,Barasat Division,"Asoknagar SO, Iswarigacha BO, Sabdalpur BO, Asoknagar Rs SO"
743223,West Bengal Circle,Kolkata Region,Barasat Division,Haripur SO North 24 Parganas
743232,West Bengal Circle,Kolkata Region,Barasat Division,"Bagdah SO, Baksha BO, Boyra BO, Chandpur BO, Hatkurulia BO, Malidah BO, Mamabhagina BO, Mashyampur BO"
743233,West Bengal Circle,Kolkata Region,Barasat Division,"Banipur SO North 24 Parganas, Jesur Jeoldanga BO"
743234,West Bengal Circle,Kolkata Region,Barasat Division,"Bira Ballavepara SO, Joypul BO, Laxmipul BO, Rowtara BO, Sethpur BO, Talsa BO"
743235,West Bengal Circle,Kolkata Region,Barasat Division,"Bangaon SO North 24 Parganas, Barnaberia BO, Angrail BO, Boaldah BO, Dharampukuria BO, Ghatbaor BO, Kalupur BO, Nakpul BO, Panchita BO, Puratan Bongaon BO, Natungram BO, Bangaon Bazar SO, Bangaon RS SO, Champaberia SO, Korarbagan SO, Motiganj SO North 24 Parganas, Ram Nagar Road SO, Subhashnagar SO North 24 Parganas, Dinabandhunagar BO"
743245,West Bengal Circle,Kolkata Region,Barasat Division,"Chand Para Bazar SO, Baikara BO, Ballavpur BO, Chhekathi BO, Dhakuria kalibari BO, Digha BO, Dogachhia Monmohanpur BO, Duma BO, Goalbathan BO, Jhowdanga BO, Jhikra BO, Kahankia BO, Kaipukuria BO, Kharua Rajapur BO, Mothuadham Mondalpara BO, Sashadanga BO, Tentulberia BO"
743247,West Bengal Circle,Kolkata Region,Barasat Division,"Dakshin Chatra SO, Barghoria BO, Chandipur BO, Charghat BO, Deara BO, Kanchdaha BO, Kapileswarpur BO, Ramchandrapur Khaspur BO, Salua BO"
743248,West Bengal Circle,Kolkata Region,Barasat Division,"Duttapukur SO, Adikashimpur BO, Bamangachi BO, Digha BO"
743249,West Bengal Circle,Kolkata Region,Barasat Division,"Gaighata SO, Amankandi BO, Colony Simulia BO, Dharampur BO, Ghonja BO, Jaleswar BO, Natagram BO, Rampur Bhatpara BO, Gutri BO"
743251,West Bengal Circle,Kolkata Region,Barasat Division,"Ganrapota SO, Ambikapur Mamudpur BO, Amdobe BO, Asharu BO, Bagangram BO, Baliadanga BO, Beara BO, Bharatpur BO, Dakshin Panchpota BO, Gazipur BO, Ghatpatila BO, Gobrapur BO, Jagadishpur BO, Karanga BO, Kaniara BO, Krishnachandapur BO, Mahananda Para BO, Murighata BO, Pathsimulia BO, Ranihati BO, Sundarpur BO, Tangra Colony BO"
743252,West Bengal Circle,Kolkata Region,Barasat Division,"Gobardanga SO, Gaipur BO, Gobardanga Ichapur BO, Nakpul Kuchlia BO, Sarkarpara Kuthipara BO"
743262,West Bengal Circle,Kolkata Region,Barasat Division,"Gopalnagar SO North 24 Parganas, Bairampur BO, Barrackpore Sripally BO, Mediahat BO, Satberia BO, Shimulia BO"
743263,West Bengal Circle,Kolkata Region,Barasat Division,"Habra SO, Akrampur BO, Bergoom BO, Fultala BO, Ganadipayan BO, Habra Srinagar BO, Hatthuba BO, Janaphul BO, Manicktala BO, Putia BO, Salua Govt Colony BO"
743268,West Bengal Circle,Kolkata Region,Barasat Division,Habra Prafulla Nagar SO
743270,West Bengal Circle,Kolkata Region,Barasat Division,"Helencha Colony SO, Baneswarpur BO, Berbari BO, Bhabanipur BO, Kulia BO, Kumarkhola BO"
743271,West Bengal Circle,Kolkata Region,Barasat Division,"Hijalpukuria SO, Kumra Kashipur BO, Sonakenia BO"
743272,West Bengal Circle,Kolkata Region,Barasat Division,"Kalyangarh SO, Kankpul BO, Samudrapur BO, Sendanga BO"
743273,West Bengal Circle,Kolkata Region,Barasat Division,"Khantura SO, Taranipur BO, Amudia BO, Balti BO, East Bishnupur BO, Gobinda Pur BO, Hakimpur BO, Media BO, Nityanandakati BO, Panchpota BO, Purandarpur BO, Ramnagar BO, Saguna BO, Sakdah Jadabpur BO, Sutia Barasat BO, Gunrajpur BO"
743286,West Bengal Circle,Kolkata Region,Barasat Division,"Swarupnagar SO, Banglani BO, Bithari BO, Dattapara BO, Gokulpur BO, Kantabagan BO, Nirman BO, Sanrapul BO, Tentulia BO"
743287,West Bengal Circle,Kolkata Region,Barasat Division,"Thakurnagar SO, Chikanpara BO, Colony Ramchandra Pur BO"
743289,West Bengal Circle,Kolkata Region,Barasat Division,"Maslandapur SO, Ghoshpur BO, Rajballavpur BO, Simulpur BO, Uludanga BO"
743290,West Bengal Circle,Kolkata Region,Barasat Division,"Nahata SO, Chowberia BO, Dighari BO, Hingli BO, Ram Shankarpur BO, Satashi BO, Taranipur BO"
743291,West Bengal Circle,Kolkata Region,Barasat Division,"Champapukur SO, Mominpur BO, Rajendrapur BO"
743292,West Bengal Circle,Kolkata Region,Barasat Division,"Itinda SO, Badartala BO, Gachha BO, Merudandi BO, Panitor BO, Shibhati BO"
743293,West Bengal Circle,Kolkata Region,Barasat Division,"Jadurhati SO, Eojnagar BO, Gokna BO, Kachua Swarupnagar BO"
743294,West Bengal Circle,Kolkata Region,Barasat Division,"Chhoto Jagulia SO, Bohara BO, Nimdaria BO, Naksha BO"
743297,West Bengal Circle,Kolkata Region,Barasat Division,"Sindrani SO, Mongalganj BO, Naldugri BO, Thoara BO, Nataberia BO"
743312,West Bengal Circle,Kolkata Region,South Presidency Division,"Basanti SO, Anandabad BO, Bharatgarh BO, Dakshin Mokamberia BO, Hironmoypur BO, Jharkhali Bazar BO, Joygopalpur Natunhat BO, Jyotishpur BO, Kalahazra BO, Masjidbati BO, Matgaran BO, Mokamberia BO, Nafarganj BO, Shibganj BO, Sonakhali BO"
743318,West Bengal Circle,Kolkata Region,South Presidency Division,"Birlapur SO, Bahirkunja BO, Burul BO, Chak Kashipur BO, Chak Alampur BO, Dakshin Raipur BO, Dongaria BO, Kamra BO, Mayapur BO, Nodakhali BO, Poali BO, Rania Gobindapur BO"
743329,West Bengal Circle,Kolkata Region,South Presidency Division,"Canning Town SO, Harbhangi BO, Agarhati BO, Amjharahat BO, Atharobanki BO, Bhangankhali BO, Boria BO, Charavidya BO, Daharani BO, Dongajora BO, Fokirtakia Sarberiahat BO, Golabari BO, Herobhanga BO, Jeliakhali Paschimkhanda BO, Jogendranagar BO, Joyramkhali BO, Kachiamara BO, Kailashnagar BO, Kalikatala BO, Kanthalberia BO, Khalisakhali BO, Kumrakhali BO, Madhukhali BO, Matherdighi BO, Meraganj BO, Narayantala BO, Nikarighata BO, Paschim Dighirpar BO, Phulmalancha BO, Rampur BO, Tengrakhali BO, Titkumar BO, Uttar Moukhali BO, Canning Town Ferry Ghat SO"
