business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BS TRADING,Building Material Supplier,Building materials supplier,Building materials supplier,753004,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Nayabazar S.O (Cuttack), O M P B.O, Chauliaganj S.O",N/A,N/A,,,"304/1281, Maitri Nagar, Naya Bazaar, Kataka, Odisha 753004","Maitri Nagar, Naya Bazaar",20.4585021,85.9166776,ChIJ-f9o0KkNGToRu9_TsDoKJ_M,https://www.google.com/maps/place/?q=place_id:ChIJ-f9o0KkNGToRu9_TsDoKJ_M,part_339,2026-09-20 20:24:17
"Jindal Panther Cement - Jay Santoshi Enterprisers | PCC, Composite & Tuffy Cement Supplier",Building Material Supplier,Building materials supplier,"Building materials supplier, Aggregate supplier, Building materials market, Cement Supplier, Cement Manufacturer, Iron works, Steel distributor",753004,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Nayabazar S.O (Cuttack), O M P B.O, Chauliaganj S.O",+91 94370 31701,https://jindalpanthercement.com/,5.0,1.0,"314, Mahanadi Vihar - Nayabazar Rd, Gandarpur, Kataka, Odisha 753004",Gandarpur,20.4617947,85.91646709999999,ChIJBUfUPwINGToRlijLhMkSiBs,https://www.google.com/maps/place/?q=place_id:ChIJBUfUPwINGToRlijLhMkSiBs,part_339,2026-09-20 20:24:17
"Jindal Panther Cement - Baral Traders | PCC, Composite & Tuffy Cement Supplier",Building Material Supplier,Building materials supplier,"Building materials supplier, Aggregate supplier, Building materials market, Cement Supplier, Cement Manufacturer",753004,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Nayabazar S.O (Cuttack), O M P B.O, Chauliaganj S.O",+91 98611 60608,https://jindalpanthercement.com/,4.0,1.0,"Madhu Patna Colony, Kataka, Odisha 753004",Madhu Patna Colony,20.446726599999998,85.9127609,ChIJbbie_j4NGToRW39SHLQGZUI,https://www.google.com/maps/place/?q=place_id:ChIJbbie_j4NGToRW39SHLQGZUI,part_339,2026-09-20 20:24:17
"Jindal Panther Cement - Baral Traders | PCC, Composite & Tuffy Cement Supplier",Building Material Supplier,Building materials supplier,"Building materials supplier, Aggregate supplier, Cement Supplier, Cement Manufacturer",753004,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Nayabazar S.O (Cuttack), O M P B.O, Chauliaganj S.O",+91 98611 60608,https://jindalpanthercement.com/,,,"Goshala Road, Naya Bazaar Rd, P, Tinigharia, Kataka, Odisha 753004","P, Tinigharia",20.446688899999998,85.9127858,ChIJCyl0NBENGToRkA9PKu_mq-E,https://www.google.com/maps/place/?q=place_id:ChIJCyl0NBENGToRkA9PKu_mq-E,part_339,2026-09-20 20:24:17
"Jindal Panther Cement - Jay Santoshi Enterprisers | PCC, Composite & Tuffy Cement Supplier",Building Material Supplier,Building materials supplier,"Building materials supplier, Aggregate supplier, Cement Supplier, Cement Manufacturer",753004,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Nayabazar S.O (Cuttack), O M P B.O, Chauliaganj S.O",+91 94370 31701,https://jindalpanthercement.com/,,,"Plot No 1144, Mahanadi Vihar - Nayabazar Rd, Mahanadi Vihar, Kataka, Odisha 753004",Mahanadi Vihar,20.4617927,85.9164327,ChIJfRLBhPMNGToRdhRMf-X9W6E,https://www.google.com/maps/place/?q=place_id:ChIJfRLBhPMNGToRdhRMf-X9W6E,part_339,2026-09-20 20:24:17
